GO_0003674|molecular_function
GO_0000351|
GO_0000352|trans assembly of SL-containing precatalytic spliceosome
GO_0045291|mRNA trans splicing, SL addition
GO_0000353|formation of quadruple SL/U4/U5/U6 snRNP
GO_0000354|cis assembly of pre-catalytic spliceosome
GO_0045292|mRNA cis splicing, via spliceosome
GO_0000355|
GO_0000356|
GO_0000357|
GO_0000358|
GO_0000359|
GO_0000360|
GO_0000361|
GO_0000362|obsolete first U2-type spliceosomal transesterification activity
GO_0000363|obsolete first U12-type spliceosomal transesterification activity
GO_0000364|obsolete second U2-type spliceosomal transesterification activity
GO_0000365|mRNA trans splicing, via spliceosome
GO_0000366|intergenic mRNA trans splicing
GO_0000380|alternative mRNA splicing, via spliceosome
GO_0000367|obsolete second U12-type spliceosomal transesterification activity
GO_0000368|
GO_0000395|mRNA 5'-splice site recognition
GO_0000369|
GO_0000370|
GO_0000371|
GO_0000372|Group I intron splicing
GO_0000376|RNA splicing, via transesterification reactions with guanosine as nucleophile
GO_0000373|Group II intron splicing
GO_0000377|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO_0000374|Group III intron splicing
GO_0000375|RNA splicing, via transesterification reactions
GO_0008380|RNA splicing
GO_0000378|RNA exon ligation
GO_0016070|RNA metabolic process
GO_0000394|RNA splicing, via endonucleolytic cleavage and ligation
GO_0000379|tRNA-type intron splice site recognition and cleavage
GO_0034470|ncRNA processing
GO_0006388|tRNA splicing, via endonucleolytic cleavage and ligation
GO_0000381|regulation of alternative mRNA splicing, via spliceosome
GO_0048024|regulation of mRNA splicing, via spliceosome
GO_0000382|
GO_0000389|mRNA 3'-splice site recognition
GO_0000383|
GO_0000384|first spliceosomal transesterification activity
GO_0140098|catalytic activity, acting on RNA
GO_0000385|
GO_0000386|second spliceosomal transesterification activity
GO_0000388|spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO_0006376|mRNA splice site recognition
GO_0000390|spliceosomal complex disassembly
GO_0032988|protein-RNA complex disassembly
GO_0000391|
GO_0000392|
GO_0000396|
GO_0000397|
GO_0006397|mRNA processing
GO_0032153|cell division site
GO_0000400|four-way junction DNA binding
GO_0000401|open form four-way junction DNA binding
GO_0000402|crossed form four-way junction DNA binding
GO_0000403|Y-form DNA binding
GO_0000404|heteroduplex DNA loop binding
GO_0032135|DNA insertion or deletion binding
GO_0000405|bubble DNA binding
GO_0000406|double-strand/single-strand DNA junction binding
GO_0000407|phagophore assembly site
GO_0000408|EKC/KEOPS complex
GO_0000409|regulation of transcription by galactose
GO_0006355|regulation of DNA-templated transcription
GO_0000410|carbon catabolite repression of transcription by galactose
GO_0045013|carbon catabolite repression of transcription
GO_0000411|positive regulation of transcription by galactose
GO_0045991|carbon catabolite activation of transcription
GO_0000412|histone peptidyl-prolyl isomerization
GO_0000413|protein peptidyl-prolyl isomerization
GO_0016570|histone modification
GO_0018208|peptidyl-proline modification
GO_0000414|obsolete regulation of histone H3-K36 methylation
GO_0000415|obsolete negative regulation of histone H3-K36 methylation
GO_0000416|obsolete positive regulation of histone H3-K36 methylation
GO_0000417|HIR complex
GO_0000418|RNA polymerase IV complex
GO_0055029|nuclear DNA-directed RNA polymerase complex
GO_0000419|RNA polymerase V complex
GO_0000420|
GO_0000421|autophagosome membrane
GO_0005776|autophagosome
GO_0000422|autophagy of mitochondrion
GO_0006914|autophagy
GO_1903008|organelle disassembly
GO_0000423|mitophagy
GO_0016236|macroautophagy
GO_0000424|micromitophagy
GO_0016237|microautophagy
GO_0000425|pexophagy
GO_0030242|autophagy of peroxisome
GO_0000426|micropexophagy
GO_0009536|plastid
GO_0030880|RNA polymerase complex
GO_0000429|carbon catabolite regulation of transcription from RNA polymerase II promoter
GO_0045990|carbon catabolite regulation of transcription
GO_0000430|regulation of transcription from RNA polymerase II promoter by glucose
GO_0046015|regulation of transcription by glucose
GO_0000431|regulation of transcription from RNA polymerase II promoter by galactose
GO_0000432|positive regulation of transcription from RNA polymerase II promoter by glucose
GO_0000436|carbon catabolite activation of transcription from RNA polymerase II promoter
GO_0046016|positive regulation of transcription by glucose
GO_0000433|carbon catabolite repression of transcription from RNA polymerase II promoter by glucose
GO_0045014|carbon catabolite repression of transcription by glucose
GO_0061987|negative regulation of transcription from RNA polymerase II promoter by glucose
GO_0000434|carbon catabolite repression of transcription from RNA polymerase II promoter by galactose
GO_0000437|carbon catabolite repression of transcription from RNA polymerase II promoter
GO_0000435|positive regulation of transcription from RNA polymerase II promoter by galactose
GO_0045944|positive regulation of transcription by RNA polymerase II
GO_0000438|core TFIIH complex portion of holo TFIIH complex
GO_0005675|transcription factor TFIIH holo complex
GO_0090575|RNA polymerase II transcription regulator complex
GO_0000440|core TFIIH complex portion of NEF3 complex
GO_0000441|
GO_0000442|
GO_0000443|
GO_0000444|MIS12/MIND type complex
GO_0000940|outer kinetochore
GO_0000445|THO complex part of transcription export complex
GO_0000446|nucleoplasmic THO complex
GO_0008023|transcription elongation factor complex
GO_0000447|endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000479|endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000462|maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000466|maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000448|cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000463|maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000449|endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO_0000450|cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)
GO_0000451|rRNA 2'-O-methylation
GO_0031167|rRNA methylation
GO_0000452|snoRNA guided rRNA 2'-O-methylation
GO_0000453|obsolete enzyme-directed rRNA 2'-O-methylation
GO_0000454|snoRNA guided rRNA pseudouridine synthesis
GO_0031118|rRNA pseudouridine synthesis
GO_0000455|enzyme-directed rRNA pseudouridine synthesis
GO_0000456|obsolete dimethylation involved in SSU-rRNA maturation
GO_0000457|endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO_0002108|maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)
GO_0002109|maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)
GO_0000458|endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)
GO_0000459|obsolete exonucleolytic trimming involved in rRNA processing
GO_0000460|maturation of 5.8S rRNA
GO_0000461|endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0031125|rRNA 3'-end processing
GO_0030490|maturation of SSU-rRNA
GO_0000470|maturation of LSU-rRNA
GO_0000464|endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000465|exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000967|rRNA 5'-end processing
GO_0000467|exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000468|generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000469|obsolete cleavage involved in rRNA processing
GO_0000471|endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000472|endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000473|maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000474|maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000475|maturation of 2S rRNA
GO_0000476|maturation of 4.5S rRNA
GO_0000477|generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000478|obsolete endonucleolytic cleavage involved in rRNA processing
GO_0000480|endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000481|maturation of 5S rRNA
GO_0000482|maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO_0000483|endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000484|cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000487|maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000485|cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000486|cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO_0000488|maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO_0000489|maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO_0000490|
GO_0000491|small nucleolar ribonucleoprotein complex assembly
GO_0000492|box C/D snoRNP assembly
GO_0000493|box H/ACA snoRNP assembly
GO_0000494|box C/D RNA 3'-end processing
GO_0031126|sno(s)RNA 3'-end processing
GO_0034963|box C/D RNA processing
GO_0000495|box H/ACA RNA 3'-end processing
GO_0034964|box H/ACA RNA processing
GO_0000496|
GO_0003676|nucleic acid binding
GO_0140489|molecular template activity
GO_0000498|
GO_0000499|
GO_0003729|mRNA binding
GO_0000500|RNA polymerase I upstream activating factor complex
GO_0000501|
GO_0000502|proteasome complex
GO_1905369|endopeptidase complex
GO_0000503|
GO_0005839|proteasome core complex
GO_0000504|obsolete proteasome regulatory particle (sensu Bacteria)
GO_0000505|
GO_0003962|cystathionine gamma-synthase activity
GO_0000506|glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO_0140534|endoplasmic reticulum protein-containing complex
GO_0005789|endoplasmic reticulum membrane
GO_0000507|
GO_0047184|1-acylglycerophosphocholine O-acyltransferase activity
GO_0000508|
GO_0033698|Rpd3L complex
GO_0000509|
GO_0032221|Rpd3S complex
GO_0000510|H3-H4 histone complex chaperone activity
GO_0140713|histone chaperone activity
GO_0000511|H2A-H2B histone complex chaperone activity
GO_0000512|lncRNA-mediated post-transcriptional gene silencing
GO_0035194|regulatory ncRNA-mediated post-transcriptional gene silencing
GO_0000513|actin severing activator activity
GO_0140677|molecular function activator activity
GO_0000514|3-sulfino-L-alanine: proton, glutamate antiporter activity
GO_0015078|proton transmembrane transporter activity
GO_0015175|neutral L-amino acid transmembrane transporter activity
GO_0042887|amide transmembrane transporter activity
GO_0140848|amino acid:monoatomic cation antiporter activity
GO_0000515|aspartate:glutamate, proton antiporter activity
GO_0005310|dicarboxylic acid transmembrane transporter activity
GO_0015556|C4-dicarboxylate transmembrane transporter activity
GO_0000578|embryonic axis specification
GO_0009798|axis specification
GO_0009880|embryonic pattern specification
GO_0000700|mismatch base pair DNA N-glycosylase activity
GO_0019104|DNA N-glycosylase activity
GO_0000701|purine-specific mismatch base pair DNA N-glycosylase activity
GO_0000702|oxidized base lesion DNA N-glycosylase activity
GO_0000703|oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO_0000704|pyrimidine dimer DNA N-glycosylase activity
GO_0000705|achiasmate meiosis I
GO_0007127|meiosis I
GO_0000706|meiotic DNA double-strand break processing
GO_0000729|DNA double-strand break processing
GO_0000707|meiotic DNA recombinase assembly
GO_0000730|DNA recombinase assembly
GO_0061982|meiosis I cell cycle process
GO_0000708|meiotic strand invasion
GO_0042148|DNA strand invasion
GO_0000709|meiotic joint molecule formation
GO_0000710|meiotic mismatch repair
GO_0006298|mismatch repair
GO_0000711|meiotic DNA repair synthesis
GO_0000731|DNA synthesis involved in DNA repair
GO_0000712|resolution of meiotic recombination intermediates
GO_0000713|meiotic heteroduplex formation
GO_0000714|meiotic strand displacement
GO_0000732|DNA strand displacement
GO_0000715|nucleotide-excision repair, DNA damage recognition
GO_0051276|chromosome organization
GO_0006289|nucleotide-excision repair
GO_0000716|transcription-coupled nucleotide-excision repair, DNA damage recognition
GO_0006283|transcription-coupled nucleotide-excision repair
GO_0000717|nucleotide-excision repair, DNA duplex unwinding
GO_0032508|DNA duplex unwinding
GO_0000718|nucleotide-excision repair, DNA damage removal
GO_0044349|DNA excision
GO_0000719|photoreactive repair
GO_0006290|pyrimidine dimer repair
GO_0000720|pyrimidine dimer repair by nucleotide-excision repair
GO_0000721|(R,R)-butanediol dehydrogenase activity
GO_0000722|telomere maintenance via recombination
GO_0000723|telomere maintenance
GO_0006259|DNA metabolic process
GO_0032200|telomere organization
GO_0000724|double-strand break repair via homologous recombination
GO_0000725|recombinational repair
GO_0006302|double-strand break repair
GO_0000726|obsolete non-recombinational repair
GO_0000727|double-strand break repair via break-induced replication
GO_0000728|
GO_0007534|gene conversion at mating-type locus
GO_0035312|5'-3' DNA exonuclease activity
GO_0065004|protein-DNA complex assembly
GO_0090735|DNA repair complex assembly
